Row	Description	Part	References	Value	Footprint	Quantity Per PCB	Status	Datasheet	PARTREV	MANUFACTURER	SNAPEDA_PN	MAXIMUM_PACKAGE_HEIGHT	STANDARD
1	CAPACITOR, European symbol	C0402-GRM152R61A104KE19D	CC_1 CC_2 CC_3 CC_4 CC_5 CC_6 CC_7 CC_8 CC_9 CC_10 CC_11 CC_12 CC_13 CC_14 CC_15 CC_16		C0402-CAPC1005X22N	16	 						
2		Amphenol-ICC_Minitek-08_10P	J2	Amphenol-ICC_Minitek-08_10P	Amphenol-ICC_Minitek-08_10P	1	 		B	Amphenol	10144041-10011LF	1.75 mm	Manufacturer Recommendations
3		TLI493D-x4D7_R1103_V3	X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16		TLI493D-x4D7_R7_R1103_V3	16	 						





Project info:
Schematic:	4x4
Variant:	default
Revision:	
Date:	2026-06-30_15-26-09
KiCad Version:	10.0.4-10.0.4~ubuntu24.04.1
Statistics:
Component Groups:	3
Component Count:	33 (33 SMD/ 0 THT)
Fitted Components:	33 (33 SMD/ 0 THT)
Number of PCBs:	1
Total Components:	33
